artist,album,genre,name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Doomtree,No Kings,hip hop,Team The Best Team,0.566,0.796,-6.045,0.0633,0.0625,6.71E-06,0.563,0.828,126.849
No+Doubt,Tragic Kingdom,ska,Don't Speak,0.515,0.705,-7.055,0.0333,0.224,1.33E-05,0.17,0.532,76.078
Fleetwood+Mac,Rumours (Deluxe),classic rock,Silver Springs - 2004 Remastered Edition,0.348,0.576,-8.388,0.0289,0.00766,0.0462,0.276,0.418,179.014
Taylor+Swift,1989,pop,Shake It Off,0.653,0.799,-5.359,0.163,0.0577,0,0.221,0.945,160.017
Childish+Gambino,"""Awaken, My Love!""",hip hop,Riot,0.498,0.95,-5.903,0.0736,0.000318,2.43E-05,0.39,0.61,91.324
No+Doubt,Tragic Kingdom,ska,Sixteen,0.492,0.927,-5.962,0.0885,0.0109,6.51E-05,0.751,0.788,157.079
Streetlight+Manifesto,Everything Goes Numb,ska,"A Better Place, a Better Time",0.532,0.864,-5.467,0.289,0.0747,0,0.106,0.441,139.334
Streetlight+Manifesto,Everything Goes Numb,ska,If and When We Rise Again,0.492,0.881,-6.57,0.0927,0.0325,0.00255,0.193,0.58,154.087
Streetlight+Manifesto,Everything Goes Numb,ska,Here's to Life,0.451,0.883,-5.624,0.0865,0.00638,0.000508,0.235,0.555,139.946
Fleetwood+Mac,Rumours (Deluxe),classic rock,Go Your Own Way - 2004 Remastered Edition,0.586,0.941,-5.139,0.0375,0.0167,0.000776,0.068,0.812,135.448
Taylor+Swift,1989,pop,Bad Blood,0.65,0.793,-6.083,0.185,0.0795,1.30E-05,0.168,0.29,170.101
No+Doubt,Tragic Kingdom,ska,End It On This,0.529,0.662,-8.412,0.0319,0.00513,0.000203,0.0839,0.587,162.748
Kendrick+Lamar,To Pimp A Butterfly,hip hop,Complexion (A Zulu Love),0.673,0.569,-7.706,0.297,0.568,3.88E-06,0.211,0.418,89.892
Taylor+Swift,1989,pop,All You Had To Do Was Stay,0.604,0.727,-5.725,0.0355,0.00216,4.02E-05,0.11,0.507,97.035
Pink Floyd,The Dark Side of the Moon,classic rock,Time,0.358,0.48,-11.79,0.0849,0.521,0.00428,0.178,0.361,120.317
The+Beatles,Let It Be (Remastered),classic rock,I've Got A Feeling - Remastered,0.44,0.609,-8.824,0.0358,0.0715,0,0.582,0.359,165.156
Eagles,Hotel California (Remastered),classic rock,Hotel California - Remastered,0.579,0.508,-9.484,0.027,0.00574,0.000494,0.0575,0.609,147.125
Streetlight+Manifesto,Everything Goes Numb,ska,The Saddest Song,0.564,0.912,-4.997,0.0625,0.0117,1.11E-06,0.359,0.935,144.67
Eagles,Hotel California (Remastered),classic rock,Life In The Fast Lane - Remastered,0.667,0.755,-7.246,0.069,0.0966,6.94E-05,0.0523,0.883,109.535
Adele,25,pop,Sweetest Devotion,0.419,0.745,-5.477,0.0408,0.231,0,0.123,0.26,155.875
Kendrick+Lamar,To Pimp A Butterfly,hip hop,For Free? - Interlude,0.527,0.895,-4.681,0.219,0.583,0,0.402,0.757,127.936
Taylor+Swift,1989,pop,Out Of The Woods,0.557,0.828,-6.848,0.0388,0.00107,1.48E-05,0.34,0.307,92.002
The+Beatles,Let It Be (Remastered),classic rock,Two Of Us - Remastered,0.726,0.702,-10.757,0.032,0.0974,3.46E-05,0.239,0.923,109.114
Less+Than+Jake,Hello Rockview,ska,Motto,0.22,0.974,-3.903,0.142,0.000359,0.00206,0.294,0.222,190.539
Ed+Sheeran,÷ (Deluxe),pop,Hearts Don't Break Around Here,0.604,0.366,-7.881,0.0267,0.719,0,0.162,0.157,105.177
Dessa,Chime,hip hop,Half of You,0.662,0.811,-7.76,0.0699,0.0323,1.92E-06,0.106,0.488,142.811
